DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2013,84.12,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2014,84.62,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2015,85.11,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2016,85.61,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2017,86.11,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2018,86.61,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2019,87.1,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2020,87.6,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2021,88.1,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2022,88.6,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2001,86.27,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2002,86.27,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2003,86.27,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2004,86.27,PERCENT,G,_X,,,
